artist_id,artist_name,popularity,followers
1oSPZhvZMIrWW5I41kPkkY,Jimin,82,7224686
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,88,12137683
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93525
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,77,3935807
3JsHnjpbhX4SnySpvpa9DK,V,81,16598214
6YVMFz59CuY7ngCxTxjpxE,aespa,76,4356169
3qNVuliS40BLgXGxhdBdqu,TAEYEON,67,2834816
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6740560
47mIJdHORyRerp4os813jD,League of Legends,78,1771078
2jOm3cYujQx6o1dxuiuqaX,RIIZE,63,372121
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,79,21956502
2uYWxilOVlUdk4oV9DvwqK,Mitski,83,6349974
3cjEqqelV9zb4BYE3qDQ4O,EXO,71,9671901
250b0Wlc5Vk0CoUsaCY84M,JENNIE,77,5026907
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,97322460
