track_id,danceability,energy,loudness,acousticness,tempo
3Ua0m0YmEjrMi9XErKcNiR,0.629,0.733,-5.445,0.0025,120.001
0u8rZGtXJrLtiSe34FPjGG,0.623,0.755,-5.386,0.00306,119.957
2HRgqmZQC0MC7GeNuDIXHN,0.79,0.831,-4.185,0.312,124.987
3k6q0O9JnO2GhvD6C8fs20,0.716,0.54,-5.951,0.389,87.963
59hBR0BCtJsfIbV9VzCVAp,0.585,0.815,-4.165,0.115,132.09
01qFKNWq73UfEslI0GvumE,0.853,0.824,-3.287,0.0322,108.044
2KslE17cAJNHTsI2MI0jb2,0.711,0.809,-4.389,0.0447,106.017
21ewxM3YvcdTj7cC0XwznO,0.6,0.819,-5.019,0.0287,124.908
4WUpMUjdoi47LY7gBQBXe3,0.515,0.346,-8.908,0.776,130.043
6auT8cRBu3BgPRBrdVBY15,0.52,0.875,-1.589,0.395,133.096
2N0SPREDYqILVEFSsWF5N5,0.633,0.607,-6.182,0.183,74.029
74X2u8JMVooG2QbjRxXwR8,0.697,0.82,-4.502,0.1,136.054
2tA3NP12r4niSRhb9Y6AoY,0.703,0.768,-3.357,0.532,102.966
2RLdkXSaiQjRbey5pvP8Kt,0.401,0.394,-6.655,0.748,129.74
3OdIiWnYRHPYtC313Z0Bwy,0.689,0.539,-7.671,0.178,119.949
1k255f17DRuRbGrfz5Ifmd,0.69,0.52,-8.072,0.794,105.005
5Hfnps0jaWFpYg55WOPexG,0.593,0.446,-7.776,0.283,102.057
2gkVEnpahpE3bQuvGuCpAV,0.671,0.839,-2.645,0.179,83.845
5XWlyfo0kZ8LF7VSyfS4Ew,0.644,0.872,-1.54,0.164,131.016
5h1BN75CEh8wdSwE1xrbSe,0.579,0.63,-7.758,0.257,155.96
2gyCwrOcC6JBoaJ8JGJ7T8,0.835,0.587,-5.814,0.396,97.03
50xSycnGMDy0Wg5jJcOv3S,0.641,0.889,-3.534,0.0394,96.033
2qg2jy3v50RwfV5FAqG3a2,0.284,0.495,-11.74,0.789,86.314
0VPFT123HKoQ2J6ipeDcI1,0.661,0.823,-4.329,0.0536,105.993
5sdQOyqq2IDhvmx2lHOpwd,0.776,0.817,-6.018,0.18,149.921
2jidjmWNeRmKgLjXhW52Gz,0.381,0.405,-7.325,0.629,130.94
4Cr43xPo7bwyCcL1g3yVCu,0.606,0.729,-4.555,0.268,73.967
3r8RuvgbX9s7ammBn07D3W,0.814,0.641,-5.957,0.027,133.854
5ONOlTiqymhzwcFjqcIT6E,0.419,0.274,-9.321,0.862,79.595
5ydjxBSUIDn26MFzU3asP4,0.633,0.454,-8.016,0.739,74.828
2lsRp40mCRkhqULWdMbOzn,0.635,0.442,-5.919,0.706,110.862
210JJAa9nJOgNa0YNrsT5g,0.588,0.765,-5.914,0.00685,145.988
1E14FuM0BRaHAJSJ9YxMVu,0.279,0.515,-4.511,0.75,139.694
56v8WEnGzLByGsDAXDiv4d,0.812,0.749,-6.389,0.108,134.971
43u5DDtK4vQ1coWXb4S5a8,0.482,0.83,-3.605,0.08,127.974
3Dah48XTdzVtbIl4dUn6l4,0.9,0.62,-5.101,0.128,109.987
4rMEoXVYww6Xy7q9wSj4gy,0.404,0.443,-6.799,0.651,131.298
365znJ27Fb3faGsctmQYWR,0.314,0.363,-7.236,0.765,139.695
7x3SGAkfIrzDr9paSslwMv,0.372,0.551,-3.508,0.536,105.104
65FftemJ1DbbZ45DUfHJXE,0.804,0.771,-4.067,0.357,126.956
1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,-5.707,0.117,169.994
0k0GtcnyQLMiXrdEDbLXmJ,0.797,0.743,-6.005,0.164,114.878
4HAOgAnILvXCbSODMoRnmD,0.556,0.339,-11.128,0.798,84.968
0yfQBmmOIVqiwhV5u10EhN,0.488,0.132,-12.332,0.942,136.189
5Odq8ohlgIbQKMZivbWkEo,0.881,0.592,-4.898,0.619,101.058
2UU11hvjN1JIn4iihEodNT,0.735,0.442,-9.529,0.68,128.013
6gcuJpHu0Ey30D5WR76y98,0.787,0.573,-6.197,0.0147,111.996
0a4MMyCrzT0En247IhqZbD,0.593,0.935,-3.43,0.268,99.976
3vkCueOmm7xQDoJ17W1Pm3,0.504,0.308,-14.958,0.868,113.95
6rdkCkjk6D12xRpdMXy0I2,0.807,0.721,-6.211,0.51,134.014
